play_id,game_id,game_date,ep,wp,down,qtr,ydstogo,yardline_100,fourth_down_converted,fourth_down_failed,yards_gained,play_type,shotgun,no_huddle,qb_dropback,score_differential,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,goal_to_go,posteam_type,season_type,week,posteam_timeouts_remaining,defteam_timeouts_remaining,vegas_wp,vegas_home_wp,no_score_prob,fg_prob,td_prob,opp_fg_prob,opp_td_prob,season,success,shotgun_binary,no_huddle_binary,qb_dropback_binary,is_pass_play,is_rush_play,is_home,is_regular_season
920,2014_01_CAR_TB,2014-09-07,3.635361094493419,0.5531681776046753,4.0,2,1,5.0,1.0,0.0,2.0,run,0,0,0.0,0.0,570.0,570.0,2370.0,0,away,REG,1,3.0,3.0,0.4090109169483185,0.5909890830516815,0.0340787917375564,0.5587217211723328,0.3342010974884033,0.0278301332145929,0.0427648201584816,2014,1,0,0,0,0,1,0,1
3595,2014_01_CIN_BAL,2014-09-07,2.3491186315659434,0.1795163005590438,4.0,4,1,33.0,1.0,0.0,3.0,run,0,0,1.0,-8.0,715.0,715.0,715.0,0,home,REG,1,3.0,3.0,0.2083499431610107,0.2083499431610107,0.0407657176256179,0.4313894212245941,0.311959445476532,0.08935546875,0.1232612505555152,2014,1,0,0,1,0,1,1,1
4512,2014_01_CIN_BAL,2014-09-07,2.1943669299944304,0.0982019528746604,4.0,4,9,21.0,0.0,1.0,-7.0,pass,1,0,1.0,-7.0,60.0,60.0,60.0,0,home,REG,1,0.0,3.0,0.0833209604024887,0.0833209604024887,0.3016034662723541,0.5849255323410034,0.0834297016263008,0.0147948758676648,0.0143657270818948,2014,0,1,0,1,1,0,1,1
3657,2014_01_CLE_PIT,2014-09-07,-1.457353474572301,0.449169784784317,4.0,4,10,80.0,1.0,0.0,25.0,pass,0,0,1.0,0.0,568.0,568.0,568.0,0,home,REG,1,2.0,3.0,0.4943353533744812,0.4943353533744812,0.1576535999774932,0.1161936819553375,0.1582167297601699,0.2526997327804565,0.3082069456577301,2014,1,0,0,1,1,0,1,1
2577,2014_01_GB_SEA,2014-09-04,0.1115777478553354,0.1370405703783035,4.0,3,5,41.0,0.0,1.0,-4.0,pass,1,0,1.0,-10.0,426.0,1326.0,1326.0,0,away,REG,1,3.0,3.0,0.1120408996939659,0.8879591003060341,0.0095450105145573,0.2325499355792999,0.2815480232238769,0.1696081012487411,0.294706791639328,2014,0,1,0,1,1,0,0,1
3662,2014_01_GB_SEA,2014-09-04,3.094986653421074,0.9977879524230956,4.0,4,1,15.0,1.0,0.0,15.0,pass,0,0,1.0,13.0,157.0,157.0,157.0,0,home,REG,1,3.0,2.0,0.9993765950202942,0.9993765950202942,0.1726532131433487,0.522834300994873,0.2546557784080505,0.0176215767860412,0.0296011921018362,2014,1,0,0,1,1,0,1,1
2493,2014_01_IND_DEN,2014-09-07,4.303467926685698,0.0868003219366073,4.0,3,1,1.0,0.0,1.0,-1.0,run,0,0,0.0,-17.0,622.0,1522.0,1522.0,1,away,REG,1,3.0,3.0,0.0405718646943569,0.9594281353056432,0.0019905462395399,0.425977498292923,0.4905832707881927,0.0309999920427799,0.0459815561771392,2014,0,0,0,0,0,1,0,1
3631,2014_01_IND_DEN,2014-09-07,-0.4669828845653683,0.0048737381584942,4.0,4,1,71.0,1.0,0.0,22.0,pass,1,1,1.0,-21.0,550.0,550.0,550.0,0,away,REG,1,3.0,2.0,0.002331897849217,0.9976681021507828,0.16256183385849,0.1384807527065277,0.221924677491188,0.2150321900844574,0.2546351850032806,2014,1,1,1,1,1,0,0,1
3855,2014_01_IND_DEN,2014-09-07,-0.0939909312874078,0.0296681430190801,4.0,4,6,53.0,1.0,0.0,9.0,pass,1,0,1.0,-14.0,390.0,390.0,390.0,0,away,REG,1,3.0,2.0,0.0190819036215543,0.9809180963784456,0.2577250301837921,0.1595719903707504,0.1999738663434982,0.1637415885925293,0.2121475040912628,2014,1,1,0,1,1,0,0,1
4506,2014_01_IND_DEN,2014-09-07,0.8770725727081299,0.1108384206891059,4.0,4,6,39.0,0.0,1.0,0.0,pass,1,0,1.0,-7.0,117.0,117.0,117.0,0,away,REG,1,0.0,2.0,0.0668739825487136,0.9331260174512864,0.6654372811317444,0.1177536249160766,0.1283817440271377,0.0492597743868827,0.0337162092328071,2014,0,1,0,1,1,0,0,1
2785,2014_01_JAX_PHI,2014-09-07,1.089558414183557,0.085594967007637,4.0,3,1,49.0,1.0,0.0,49.0,run,1,0,0.0,-17.0,706.0,1606.0,1606.0,0,home,REG,1,3.0,3.0,0.2308575958013534,0.2308575958013534,0.0052285273559391,0.2171404808759689,0.3638685047626495,0.174841970205307,0.2282976955175399,2014,1,1,0,0,0,1,1,1
4523,2014_01_JAX_PHI,2014-09-07,-0.0650316155515611,0.1134585291147232,4.0,4,1,71.0,0.0,1.0,0.0,pass,0,0,1.0,-7.0,361.0,361.0,361.0,0,away,REG,1,0.0,2.0,0.0697809010744094,0.9302190989255904,0.377265989780426,0.1062454655766487,0.1783984154462814,0.1745465397834777,0.1580430567264557,2014,0,0,0,1,1,0,0,1
4375,2014_01_NE_MIA,2014-09-07,-1.468525993172079,0.0246621817350387,4.0,4,10,82.0,0.0,1.0,-4.0,pass,1,0,1.0,-10.0,190.0,190.0,190.0,0,away,REG,1,3.0,3.0,0.0315657667815685,0.9684342332184316,0.3727279305458069,0.0864870622754097,0.0938665196299552,0.1761607974767685,0.2645756304264068,2014,0,1,0,1,1,0,0,1
4639,2014_01_NE_MIA,2014-09-07,0.0208361258264631,0.0052471454255282,4.0,4,5,66.0,1.0,0.0,7.0,pass,1,0,1.0,-13.0,128.0,128.0,128.0,0,away,REG,1,0.0,3.0,0.0029753155540674,0.9970246844459324,0.6710212826728821,0.0465027950704097,0.1129849031567573,0.0651275739073753,0.1021590754389762,2014,1,1,0,1,1,0,0,1
4839,2014_01_NE_MIA,2014-09-07,1.208108949882444,0.0039640623144805,4.0,4,1,37.0,1.0,0.0,3.0,run,1,1,0.0,-13.0,47.0,47.0,47.0,0,away,REG,1,0.0,3.0,0.0022512730211019,0.997748726978898,0.6342427134513855,0.19935904443264,0.1172309443354606,0.0312989950180053,0.016740595921874,2014,1,1,1,0,0,1,0,1
4950,2014_01_NE_MIA,2014-09-07,1.6008085121866316,0.0011126036988571,4.0,4,10,34.0,0.0,1.0,0.0,pass,1,0,1.0,-13.0,15.0,15.0,15.0,0,away,REG,1,0.0,2.0,0.00083970429841429,0.9991602957015856,0.4969234764575958,0.4422953128814697,0.0481831468641757,0.0046914494596421,0.0070455446839332,2014,0,1,0,1,1,0,0,1
1305,2014_01_NYG_DET,2014-09-08,4.366305262548849,0.1662208139896392,4.0,2,1,1.0,1.0,0.0,1.0,pass,1,0,1.0,-14.0,779.0,779.0,2579.0,1,away,REG,1,3.0,2.0,0.0995349660515785,0.9004650339484215,0.0123180709779262,0.4015982151031494,0.507063627243042,0.0287792775779962,0.0442778654396534,2014,1,1,0,1,1,0,0,1
3032,2014_01_NYG_DET,2014-09-08,0.8611373081803322,0.016371451318264,4.0,3,1,43.0,1.0,0.0,3.0,run,0,0,0.0,-20.0,21.0,921.0,921.0,0,away,REG,1,3.0,2.0,0.0076737394556403,0.9923262605443596,0.0274719167500734,0.212322250008583,0.3449069559574127,0.1681679338216781,0.2412546873092651,2014,1,0,0,0,0,1,0,1
3707,2014_01_NYG_DET,2014-09-08,0.0722781743388623,0.0008810929721221328,4.0,4,1,56.0,0.0,1.0,0.0,run,0,0,0.0,-21.0,188.0,188.0,188.0,0,away,REG,1,3.0,2.0,0.00036520109279081225,0.9996347989072092,0.4346204698085785,0.1186157017946243,0.165658101439476,0.120116077363491,0.1555031090974807,2014,0,0,0,0,0,1,0,1
4121,2014_01_SD_ARI,2014-09-08,0.0015784290153533,0.3546173572540283,4.0,4,2,60.0,0.0,1.0,0.0,pass,1,0,1.0,-1.0,113.0,113.0,113.0,0,away,REG,1,1.0,2.0,0.3225825130939483,0.6774174869060516,0.6303049325942993,0.0731102675199508,0.1060755625367164,0.088673859834671,0.0994118154048919,2014,0,1,0,1,1,0,0,1
3073,2014_01_SF_DAL,2014-09-07,4.235689214197919,0.0046931710094213,4.0,3,1,2.0,1.0,0.0,2.0,run,1,0,0.0,-25.0,33.0,933.0,933.0,0,home,REG,1,3.0,2.0,0.0031717240344733,0.0031717240344733,0.0080098034814,0.4917421042919159,0.4355458617210388,0.0316614881157875,0.0286036264151334,2014,1,1,0,0,0,1,1,1
